SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
CNM,USA,59.68,2025-06-10,70.34,1.65,20.93%,1.58,11.133,9.927,"4,245",37.98%,48.65%  (  +0.53%),56.36%,"23,819",10,4,4,88,Industrial Distribution,
ASO,USA,43.46,2025-06-10,57.19,1.57,-13.16%,0.49,9.674,9.624,"1,129",58.71%,54.07%  (  +0.20%),50.71%,"33,291",7,4,4,70,Specialty Retail,
GTLB,USA,48.77,2025-06-10,53.76,2.02,-11.80%,10.61,15.728,14.351,"10,911",40.03%,73.66%  (  -1.33%),70.98%,"120,005",7,5,5,80,Software - Infrastructure,
SAIL,USA,19.07,2025-06-11,59.81,0.85,-1.44%,12.32,4.186,13.111,"1,079",48.39%,71.23%  (  -0.61%),56.37%,"7,113",7,4,4,75,Software - Infrastructure,
CHWY,USA,48.21,2025-06-11,81.75,1.47,41.68%,1.69,12.474,9.783,"31,272",25.38%,57.22%  (  +1.09%),20.89%,"273,016",8,5,4,85,Internet Retail,
ORCL,USA,174.02,2025-06-11,73.58,4.12,6.99%,8.75,8.738,8.145,"69,387",25.55%,43.22%  (  -1.96%),52.29%,"708,225",7,4,4,90,Software - Infrastructure,"MSFT, 0.86(6M)"
RH,USA,183.47,2025-06-12,46.45,11.40,-39.55%,1.08,13.375,16.242,"11,958",68.96%,93.47%  (  +1.32%),60.85%,"96,693",10,4,4,72,Specialty Retail,
ADBE,USA,416.92,2025-06-12,62.91,8.44,-8.69%,8.06,7.904,7.825,"24,051",19.01%,42.39%  (  -1.38%),70.59%,"330,886",7,4,4,85,Software - Application,
UEC,USA,6.27,2025-06-16,59.06,0.40,-1.11%,41.68,7.295,0.000,"5,867",83.64%,65.71%  (  +3.12%),50.02%,"257,031",7,5,5,0,Uranium,
JBL,USA,176.62,2025-06-17,76.88,4.24,26.79%,0.69,9.422,8.860,674,21.08%,43.82%  (  -3.65%),46.29%,"39,108",7,4,5,82,Electronic Components,
CCL,Panama,24.28,2025-06-19,69.08,0.73,10.90%,1.24,7.658,9.164,"41,046",39.39%,46.26%  (  +1.31%),26.65%,"1,290,827",10,4,4,85,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
ACN,Ireland,317.65,2025-06-20,56.04,5.83,-7.16%,2.96,6.507,6.683,"2,469",19.31%,33.72%  (  +0.38%),56.94%,"97,052",7,4,4,80,Information Technology Services,
KR,USA,66.15,2025-06-20,38.54,1.43,6.90%,0.30,5.659,5.707,"7,048",21.19%,29.70%  (  -1.66%),50.71%,"252,111",5,4,5,80,Grocery Stores,
DRI,USA,217.53,2025-06-20,65.97,3.99,19.05%,2.16,5.712,5.838,665,21.12%,30.97%  (  -1.03%),51.88%,"36,078",9,4,4,88,Restaurants,
FDX,USA,219.61,2025-06-24,49.53,5.13,-15.36%,0.60,9.046,8.987,"8,926",29.34%,42.99%  (  -0.08%),54.09%,"176,728",4,4,4,77,Integrated Freight & Logistics,
NKE,USA,62.80,2025-06-26,55.97,1.79,-14.16%,1.93,8.788,9.722,"87,729",34.79%,47.41%  (  -0.02%),63.40%,"1,743,365",5,4,4,60,Footwear & Accessories,"UA, 0.88(6M)"
JEF,USA,52.41,2025-07-01,59.56,1.71,-17.15%,1.11,6.905,11.001,"1,372",36.49%,37.78%  (  -0.23%),28.62%,"46,397",9,4,4,0,Capital Markets,
DAL,USA,50.95,2025-07-10,62.41,1.73,-5.10%,0.54,7.622,0.000,"59,447",41.81%,42.30%  (  +0.52%),22.70%,"843,158",7,5,5,78,Airlines,"UAL, 0.94(6M)"
PGR,USA,279.32,2025-07-10,48.62,6.02,8.18%,2.09,2.117,0.000,"1,102",20.24%,23.77%  (  +0.87%),13.03%,"59,260",8,4,4,80,Insurance - Property & Casualty,
