SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
AXP,USA,252.92,2025-04-17,44.89,12.54,-8.16%,2.39,4.644,4.696,"39,686",60.29%,42.79%  (  +3.32%),50.74%,"237,086",6,4,4,85
FITB,USA,34.40,2025-04-17,37.23,1.69,-18.38%,1.65,4.115,4.117,"3,632",48.69%,43.16%  (  +5.65%),58.14%,"74,784",6,4,4,80
KEY,USA,14.07,2025-04-17,40.13,0.79,-16.05%,1.68,4.626,4.335,"4,161",56.21%,45.39%  (  +2.55%),50.01%,"276,085",8,4,4,70
HBAN,USA,13.27,2025-04-17,40.46,0.69,-14.07%,1.63,3.546,5.279,"2,108",56.07%,40.51%  (  -0.84%),56.14%,"73,174",8,4,4,80
INFY,USA,16.58,2025-04-17,34.35,0.58,-22.56%,3.60,4.935,5.420,"2,796",37.82%,39.75%  (  +5.25%),75.77%,"65,150",9,4,4,88
STT,USA,79.63,2025-04-17,38.54,3.69,-11.72%,1.09,5.230,5.259,"1,926",48.87%,40.23%  (  +2.55%),44.96%,"35,328",7,4,4,85
SCHW,USA,75.70,2025-04-17,48.68,3.18,3.71%,5.43,4.958,5.106,"49,406",45.23%,38.50%  (  +0.54%),45.09%,"460,208",9,5,5,85
ALLY,USA,32.18,2025-04-17,40.85,1.79,-14.07%,0.60,6.757,6.448,"23,875",54.23%,52.33%  (  +3.15%),55.47%,"113,309",8,4,4,74
NFLX,USA,0,2025-04-17,,,,,8.223,9.312,"152,867",54.05%,52.99%  (  +1.08%),63.95%,"554,331",8,4,4,80
BX,USA,0,2025-04-17,,,,,4.033,4.205,"15,355",68.21%,50.96%  (  +2.74%),54.06%,"329,509",7,4,4,88
HDB,USA,0,2025-04-18,,,,,5.315,6.498,"6,316",24.20%,29.31%  (  +6.18%),43.93%,"23,138",7,4,4,70
IBN,USA,0,2025-04-29,,,,,3.890,5.317,"6,275",20.56%,23.32%  (  -0.03%),49.70%,"90,780",9,4,4,0
AGNC,USA,0,2025-04-21,,,,,4.125,4.940,"62,160",37.54%,35.56%  (  -1.15%),62.07%,"840,606",4,4,4,65
GE,USA,0,2025-04-22,,,,,5.726,6.919,"17,256",55.08%,43.90%  (  +4.13%),49.82%,"260,087",9,5,5,85
ELV,USA,0,2025-04-22,,,,,6.004,8.011,"2,932",29.41%,34.81%  (  +1.69%),64.42%,"41,338",8,5,5,75
DHR,USA,0,2025-04-22,,,,,4.766,6.875,"9,317",49.36%,40.68%  (  +0.82%),55.07%,"124,717",8,5,5,70
RTX,USA,0,2025-04-22,,,,,4.344,5.069,"8,725",39.05%,33.29%  (  +0.60%),48.23%,"202,159",10,5,5,82
GPC,USA,0,2025-04-22,,,,,6.353,9.740,601,39.83%,40.03%  (  +4.29%),76.31%,"18,472",8,4,4,65
MMM,USA,0,2025-04-22,,,,,6.421,7.592,"4,485",48.19%,45.77%  (  +2.79%),65.95%,"231,984",9,4,4,75
SYF,USA,0,2025-04-22,,,,,6.952,12.510,"1,356",76.37%,56.81%  (  +3.38%),58.37%,"76,992",10,4,5,75
LMT,USA,0,2025-04-22,,,,,3.733,5.618,"6,457",32.08%,32.62%  (  +1.16%),68.90%,"103,946",5,4,4,85
NOC,USA,0,2025-04-22,,,,,3.919,7.521,988,30.86%,33.36%  (  +3.24%),62.64%,"35,682",5,4,4,85
PHM,USA,0,2025-04-22,,,,,5.017,7.328,"2,150",40.66%,48.42%  (  +3.28%),68.17%,"42,560",7,4,4,78
SAP,USA,0,2025-04-22,,,,,11.932,9.233,"4,811",43.79%,40.15%  (  -0.35%),66.56%,"31,894",9,5,5,90
ISRG,USA,0,2025-04-22,,,,,5.903,8.139,"4,222",62.99%,46.66%  (  +2.70%),60.67%,"94,852",8,4,5,82
COF,USA,0,2025-04-22,,,,,4.511,8.235,"7,717",70.66%,53.12%  (  -0.61%),57.63%,"208,030",10,5,4,72
BKR,USA,0,2025-04-22,,,,,6.602,10.884,"4,629",65.60%,48.95%  (  +5.50%),62.14%,"140,528",9,5,5,88
STLD,USA,0,2025-04-22,,,,,5.917,11.065,559,54.72%,47.99%  (  +2.06%),55.24%,"40,803",10,5,5,78
EQT,USA,0,2025-04-22,,,,,4.425,7.245,"12,548",54.65%,49.83%  (  +2.06%),52.76%,"264,102",8,4,4,85
T,USA,0,2025-04-23,,,,,4.502,5.496,"62,312",30.87%,32.91%  (  +3.16%),63.64%,"1,242,244",10,5,5,80
APH,USA,0,2025-04-23,,,,,7.267,10.190,"3,238",53.07%,45.84%  (  +2.83%),72.68%,"82,664",8,5,4,88
BSX,USA,0,2025-04-23,,,,,5.753,5.748,"7,325",43.74%,36.07%  (  +2.66%),56.29%,"263,887",8,5,5,88
BA,USA,0,2025-04-23,,,,,5.109,7.621,"88,947",70.07%,49.81%  (  +0.96%),48.72%,"1,206,860",6,4,4,50
GEV,USA,0,2025-04-23,,,,,8.763,10.316,"12,858",81.64%,69.76%  (  +4.99%),51.77%,"153,016",8,5,5,80
NEE,USA,0,2025-04-23,,,,,3.951,5.866,"12,692",39.44%,35.44%  (  +0.79%),47.99%,"555,130",8,4,4,85
CME,USA,0,2025-04-23,,,,,3.868,5.987,"3,215",22.96%,25.87%  (  +1.62%),57.66%,"54,264",9,4,4,88
NSC,USA,0,2025-04-23,,,,,4.122,5.901,677,39.61%,39.08%  (  +4.38%),61.84%,"17,945",9,4,4,80
NOW,USA,0,2025-04-23,,,,,6.608,9.219,"4,333",64.45%,54.26%  (  +1.22%),60.33%,"99,207",8,5,5,88
ESI,USA,0,2025-04-23,,,,,8.911,13.230,"2,904",63.55%,72.08%  (  +13.30%),90.53%,"22,118",4,5,4,78
MTDR,USA,0,2025-04-23,,,,,7.482,14.703,"1,927",90.35%,64.35%  (  -0.05%),64.42%,"63,612",9,5,5,85
DFS,USA,0,2025-04-23,,,,,3.771,9.108,"1,241",76.25%,67.96%  (  +2.10%),67.38%,"60,425",5,4,4,85
IBM,USA,0,2025-04-23,,,,,6.193,7.863,"23,410",40.39%,42.45%  (  +0.50%),60.24%,"302,804",7,4,4,85
RMD,USA,0,2025-04-23,,,,,10.353,11.514,"1,982",37.51%,49.30%  (  +3.40%),66.26%,"23,093",5,4,4,88
ALK,USA,0,2025-04-23,,,,,7.083,14.165,"8,307",89.27%,62.76%  (  +1.79%),58.86%,"126,560",6,5,5,85
LRCX,USA,0,2025-04-23,,,,,3.717,8.935,"31,038",80.14%,60.63%  (  +3.29%),56.41%,"602,193",8,5,5,85
NEM,USA,0,2025-04-23,,,,,4.950,7.207,"83,053",47.68%,45.41%  (  +3.84%),53.46%,"1,009,733",7,4,4,70
CMG,USA,0,2025-04-23,,,,,8.148,8.735,"21,657",44.91%,48.94%  (  +2.05%),65.68%,"1,011,780",5,5,5,85
BANC,USA,0,2025-04-23,,,,,9.683,11.951,"1,662",54.08%,33.73%  (  -11.89%),18.00%,"29,852",10,4,4,80
ALKS,Ireland,0,2025-05-07,,,,,9.416,13.760,693,37.28%,62.37%  (  -1.40%),79.37%,"7,408",9,4,4,82
ETR,USA,0,2025-04-29,,,,,2.705,7.876,962,31.08%,33.19%  (  +5.00%),68.16%,"39,518",6,4,4,85
NBIS,Netherlands,0,2025-04-25,,,,,8.357,16.640,"13,927",121.51%,101.57%  (  +9.82%),38.09%,"379,507",10,4,4,70
