SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
FRPT,USA,76.36,2025-05-05,43.80,4.11,-39.89%,3.81,12.580,14.833,"4,913",55.72%,79.24%  (  -0.68%),87.33%,"21,068",8,4,4,80
ARES,USA,157.07,2025-05-05,59.86,7.45,-2.79%,12.17,6.110,7.226,751,80.40%,42.61%  (  -4.32%),39.30%,"27,118",7,5,5,85
BNTX,USA,104.94,2025-05-05,53.20,6.49,-1.40%,8.45,8.206,10.532,"2,439",73.33%,55.76%  (  +5.49%),66.45%,"55,696",8,5,5,65
FANG,USA,136.81,2025-05-05,48.32,6.15,-19.72%,3.64,4.640,6.720,"3,290",78.18%,44.26%  (  -2.99%),48.90%,"67,500",10,5,5,78
BRBR,USA,78.92,2025-05-05,63.46,2.76,16.05%,4.82,8.264,7.439,658,37.04%,38.45%  (  -0.52%),52.03%,"3,290",9,5,5,85
MAT,USA,16.38,2025-05-05,49.10,0.72,-12.92%,0.98,8.642,9.768,"3,998",69.39%,49.15%  (  -5.33%),49.36%,"63,469",9,4,4,85
CRBG,USA,30.66,2025-05-05,56.47,1.32,1.24%,0.90,7.108,6.616,684,67.57%,38.58%  (  -4.13%),31.62%,"22,122",9,5,4,80
LSCC,USA,51.89,2025-05-05,57.47,3.20,-3.30%,14.02,12.931,12.382,"2,560",102.86%,67.51%  (  +0.73%),50.06%,"10,542",7,5,5,60
CRH,Ireland,98.51,2025-05-05,64.57,3.59,5.83%,1.88,6.680,6.092,"3,948",54.05%,39.25%  (  +1.55%),43.09%,"59,634",,5,5,85
WMB,USA,60.00,2025-05-05,56.90,1.95,13.60%,6.81,3.528,4.583,"6,474",37.47%,32.86%  (  -3.68%),40.18%,"225,078",10,4,5,85
VNOM,USA,42.08,2025-05-05,52.90,1.84,-9.86%,10.80,7.594,8.142,560,62.69%,43.82%  (  +0.48%),45.35%,"18,858",10,5,5,80
NBIX,USA,109.68,2025-05-05,58.90,4.02,-12.37%,4.61,9.456,11.268,899,51.40%,54.91%  (  +0.32%),45.03%,"18,305",10,5,5,80
CORT,USA,72.77,2025-05-05,54.55,5.23,37.50%,11.37,17.702,12.713,723,230.89%,88.21%  (  +3.96%),52.00%,"41,826",10,5,4,80
VRTX,USA,501.15,2025-05-05,55.67,13.98,6.29%,11.73,4.643,4.805,"2,008",23.47%,31.89%  (  -1.15%),40.30%,"36,887",5,4,5,80
ZTS,USA,157.44,2025-05-06,54.60,4.64,-9.48%,7.59,7.280,7.271,"2,085",33.21%,34.91%  (  -1.29%),56.55%,"45,114",9,5,4,90
CEG,USA,247.26,2025-05-06,64.62,12.65,4.70%,3.28,8.708,8.018,"13,713",81.85%,56.51%  (  -1.04%),38.32%,"190,862",6,4,5,0
LDOS,USA,148.79,2025-05-06,66.86,3.93,-1.90%,1.14,6.819,7.550,560,29.75%,39.90%  (  +0.76%),65.97%,"25,136",6,4,4,82
MPC,USA,141.55,2025-05-06,58.63,5.51,-7.59%,0.32,5.076,5.543,"3,167",62.76%,39.36%  (  -1.78%),35.33%,"70,060",9,4,4,75
